freq p1h p2h zpidg(0..3) hpidg(0..3) ppidg(0..3) rpidg(0..3) gz_rc gz_wam maxmrate mg
250 101199 101149 [ 0 0 0.005 -1 ] [ 0 0 0.015 -1 ] [ 0.1 0 0.02 -1 ] [ 0.1 0 0.02 -1 ] 0.1 0.65 500 41

time      t_abs     comp      t1       t2       p1          p2          dz       hdg      pitch    roll     cal tz   th   tp   tr   zov         hov         pov         rov         m1  m2  m3  m4  err       
0.000     2110.502  109323    25.498   25.498   101185.609  101148.445  0.000    1.150    0.785    -0.797   0   0    0    0    1    0.000       0.000       0.000       0.000       0   0   0   0   0000000000000000
0.004     2110.506  82030     25.675   25.675   101198.031  101146.289  0.005    0.433    -0.691   -1.070   0   0    -2   -1   1    0.000       0.000       -0.031      0.207       41  41  40  40  0000000000000000
0.008     2110.510  41093     25.698   25.698   101190.422  101147.250  0.025    0.987    -1.462   -2.049   0   -1   -2   0    1    -1.275      -2.077      9.003       5.197       38  51  45  23  0000000000000000
0.012     2110.514  39166     25.465   25.465   101200.312  101150.547  0.020    1.501    -0.654   -1.669   0   -2   0    0    1    -1.244      5.571       -3.972      -1.632      36  39  31  50  0000000000000000
0.016     2110.518  38905     25.471   25.471   101191.664  101148.969  0.035    2.030    1.116    -1.331   0   -2   1    1    1    -0.019      1.766       -3.864      -1.459      41  37  36  48  0000000000000000
0.020     2110.522  42031     25.789   25.789   101210.773  101138.242  0.021    2.711    3.568    -1.127   0   -2   1    2    1    0.017       -2.553      -7.417      -0.803      50  30  37  46  0000000000000000
0.024     2110.526  45677     25.486   25.486   101194.812  101144.281  0.035    3.592    -0.146   -0.633   0   -2   1    2    1    -0.017      -3.306      18.784      -2.311      23  54  65  21  0000000000000000
0.028     2110.530  58176     25.610   25.610   101205.266  101144.531  0.026    4.188    -1.691   0.248    0   -2   1    2    1    0.011       -2.233      8.096       -4.326      30  42  55  35  0000000000000000
0.032     2110.534  41823     25.495   25.495   101197.031  101148.172  0.030    3.316    -2.967   -0.289   0   -2   2    3    2    -0.005      7.019       11.976      7.911       29  67  38  28  0000000000000000
0.036     2110.538  47812     25.496   25.496   101198.570  101144.195  0.036    2.967    -2.228   0.082    0   -2   2    3    2    -0.007      1.308       -3.174      -1.661      41  37  38  47  0000000000000000
0.040     2110.542  54739     25.555   25.555   101197.133  101156.867  0.030    1.756    -1.796   -0.697   0   -2   -1   3    2    0.008       -6.707      -1.677      4.166       53  36  41  31  0000000000000000
0.044     2110.546  41770     25.361   25.361   101187.656  101136.023  0.067    1.876    -2.002   1.134    0   -2   0    2    1    -0.047      3.300       -3.568      -14.173     27  26  48  62  0000000000000000
0.048     2110.550  39375     25.492   25.492   101203.977  101174.328  0.026    1.072    -2.557   0.442    0   -1   0    2    1    1.301       3.014       3.231       3.518       39  52  39  38  0000000000000000
0.052     2110.554  47500     25.628   25.628   101206.047  101151.055  0.008    -1.012   -1.655   1.666    0   -1   0    1    1    0.022       7.814       -9.249      -6.189      36  33  30  64  0000000000000000
0.056     2110.558  44687     25.573   25.573   101198.250  101132.609  0.028    -3.227   -2.925   0.885    0   -2   1    1    1    -1.275      12.059      6.743       3.917       24  62  30  41  0000000000000000
0.060     2110.562  41354     25.640   25.640   101188.352  101138.312  0.062    -1.260   -2.541   2.635    0   -2   1    1    1    -0.042      -7.377      -1.562      -8.913      41  23  55  44  0000000000000000
0.064     2110.566  38229     25.479   25.479   101200.148  101150.766  0.055    -2.091   -2.771   1.918    0   -2   1    1    1    0.008       3.117       1.523       3.492       39  49  35  39  0000000000000000
0.068     2110.570  54687     25.458   25.458   101205.609  101157.211  0.030    -1.701   -2.709   0.333    0   -2   1    1    3    0.031       -1.462      0.063       18.196      60  57  24  21  0000000000000000
0.072     2110.574  48645     25.441   25.441   101174.227  101151.102  0.079    0.116    -4.108   -0.494   0   -2   2    1    3    -0.061      -3.064      7.509       4.483       41  49  47  25  0000000000000000
0.076     2110.578  47344     25.653   25.653   101210.969  101135.492  0.066    0.244    -4.808   -0.705   0   -3   2    1    3    -1.234      -0.480      4.078       1.424       37  44  43  33  0000000000000000
