freq z1h z2h zpidg(0..3) hpidg(0..3) ppidg(0..3) rpidg(0..3) gz_rc gz_wam maxmrate mg
100 0 0 0 0 1 0 0 0 0.3 0 1 0 0.5 0 1 0 0.5 0 0.1 0.65 500 41

time      z1             z2             dz             hdg    pitch  roll   cal tz   th   tp   tr   zov         hov         pov         rov         m1  m2  m3  m4  err       
0.000     25             19             0              10     4      -3     0   0    150  0    0    0           0           0           0           0   0   0   0   000000000 
0.010     25             19             2.08           10     4      -3     0   0    150  0    0    0           0           -4          3           5   5   5   5   000000000 
0.020     25             19             3.97           10     4      -3     0   0    150  0    0    -189        0           -4          3           0   0   0   0   000000000 
0.030     25             19             5.69           10     4      -3     0   0    150  0    0    -172        0           -4          3           0   0   0   0   000000000 
0.040     25             19             7.26           10     4      -3     0   0    150  0    0    -156        0           -4          3           0   0   0   0   000000000 
0.050     25             19             8.68           10     4      -3     0   0    150  0    0    -142        0           -4          3           0   0   0   0   000000000 
0.060     25             19             9.97           10     4      -3     0   0    150  0    0    -129        0           -4          3           0   0   0   0   000000000 
0.070     25             19             11.1           10     4      -3     0   0    150  0    0    -118        0           -4          3           0   0   0   0   000000000 
0.080     25             19             12.2           10     4      -3     0   0    150  0    0    -107        0           -4          3           0   0   0   0   000000000 
0.090     25             19             13.2           10     4      -3     0   0    150  0    0    -97.1       0           -4          3           0   0   0   0   000000000 
0.100     25             19             14.1           10     4      -3     0   0    150  0    0    -88.3       0           -4          3           0   0   0   0   000000000 
0.110     25             19             14.9           10     4      -3     0   0    150  0    0    -80.3       0           -4          3           0   0   0   0   000000000 
0.120     25             19             15.6           10     4      -3     0   0    150  0    0    -73         0           -4          3           0   0   0   0   000000000 
0.130     25             19             16.3           10     4      -3     0   0    150  0    0    -66.3       0           -4          3           0   0   0   0   000000000 
0.140     25             19             16.9           10     4      -3     0   0    150  0    0    -60.3       0           -4          3           0   0   0   0   000000000 
0.150     25             19             17.4           10     4      -3     0   0    150  0    0    -54.8       0           -4          3           0   0   0   0   000000000 
0.160     25             19             17.9           10     4      -3     0   0    150  0    0    -49.8       0           -4          3           0   0   0   0   000000000 
0.170     25             19             18.4           10     4      -3     0   0    150  0    0    -45.3       0           -4          3           2   0   0   0   000000000 
0.180     25             19             18.8           10     4      -3     0   0    150  0    0    -41.2       0           -4          3           6   0   0   0   000000000 
0.190     25             19             19.2           10     4      -3     0   0    150  0    0    -37.4       0           -4          3           10  2   0   4   000000000 
0.200     25             19             19.5           10     4      -3     0   0    150  0    0    -34         0           -4          3           14  6   0   8   000000000 
0.210     25             19             19.8           10     4      -3     0   0    150  0    0    -30.9       0           -4          3           17  9   3   11  000000000 
0.220     25             19             20.1           10     4      -3     0   0    150  0    0    -28.1       0           -4          3           20  12  6   14  000000000 
0.230     25             19             20.3           10     4      -3     0   0    150  0    0    -25.6       0           -4          3           22  14  8   16  000000000 
0.240     25             19             20.6           10     4      -3     0   0    150  0    0    -23.2       0           -4          3           24  16  10  18  000000000 
0.250     25             19             20.8           10     4      -3     0   0    150  0    0    -21.1       0           -4          3           27  19  13  21  000000000 
0.260     25             19             21             10     4      -3     0   0    150  0    0    -19.2       0           -4          3           28  20  14  22  000000000 
0.270     25             19             21.2           10     4      -3     0   0    150  0    0    -17.5       0           -4          3           30  22  16  24  000000000 
0.280     25             19             21.3           10     4      -3     0   0    150  0    0    -15.9       0           -4          3           32  24  18  26  000000000 
0.290     25             19             21.5           10     4      -3     0   0    150  0    0    -14.4       0           -4          3           33  25  19  27  000000000 
0.300     25             19             21.6           10     4      -3     0   0    150  0    0    -13.1       0           -4          3           35  27  21  29  000000000 
0.310     25             19             21.7           10     4      -3     0   0    150  0    0    -11.9       0           -4          3           36  28  22  30  000000000 
0.320     25             19             21.8           10     4      -3     0   0    150  0    0    -10.8       0           -4          3           37  29  23  31  000000000 
0.330     25             19             21.9           10     4      -3     0   0    150  0    0    -9.86       0           -4          3           38  30  24  32  000000000 
0.340     25             19             22             10     4      -3     0   0    150  0    0    -8.96       0           -4          3           39  31  25  33  000000000 
0.350     25             19             22.1           10     4      -3     0   0    150  0    0    -8.15       0           -4          3           40  32  26  34  000000000 
0.360     25             19             22.2           10     4      -3     0   0    150  0    0    -7.41       0           -4          3           40  32  26  34  000000000 
0.370     25             19             22.2           10     4      -3     0   0    150  0    0    -6.73       0           -4          3           41  33  27  35  000000000 
0.380     25             19             22.3           10     4      -3     0   0    150  0    0    -6.12       0           -4          3           42  34  28  36  000000000 
0.390     25             19             22.3           10     4      -3     0   0    150  0    0    -5.57       0           -4          3           42  34  28  36  000000000 
0.400     25             19             22.4           10     4      -3     0   0    150  0    0    -5.06       0           -4          3           43  35  29  37  000000000 
0.410     25             19             22.4           10     4      -3     0   0    150  0    0    -4.6        0           -4          3           43  35  29  37  000000000 
0.420     25             19             22.5           10     4      -3     0   0    150  0    0    -4.18       0           -4          3           43  35  29  37  000000000 
0.430     25             19             22.5           10     4      -3     0   0    150  0    0    -3.8        0           -4          3           44  36  30  38  000000000 
0.440     25             19             22.6           10     4      -3     0   0    150  0    0    -3.46       0           -4          3           44  36  30  38  000000000 
0.450     25             19             22.6           10     4      -3     0   0    150  0    0    -3.14       0           -4          3           45  37  31  39  000000000 
0.460     25             19             22.6           10     4      -3     0   0    150  0    0    -2.86       0           -4          3           45  37  31  39  000000000 
0.470     25             19             22.6           10     4      -3     0   0    150  0    0    -2.6        0           -4          3           45  37  31  39  000000000 
0.480     25             19             22.7           10     4      -3     0   0    150  0    0    -2.36       0           -4          3           45  37  31  39  000000000 
0.490     25             19             22.7           10     4      -3     0   0    150  0    0    -2.15       0           -4          3           46  38  32  40  000000000 
0.500     25             19             22.7           10     4      -3     0   0    150  0    0    -1.95       0           -4          3           46  38  32  40  000000000 
0.510     25             19             22.7           10     4      -3     0   0    150  0    0    -1.77       0           -4          3           46  38  32  40  000000000 
0.520     25             19             22.7           10     4      -3     0   0    150  0    0    -1.61       0           -4          3           46  38  32  40  000000000 
0.530     25             19             22.8           10     4      -3     0   0    150  0    0    -1.47       0           -4          3           46  38  32  40  000000000 
0.540     25             19             22.8           10     4      -3     0   0    150  0    0    -1.33       0           -4          3           46  38  32  40  000000000 
0.550     25             19             22.8           10     4      -3     0   0    150  0    0    -1.21       0           -4          3           46  38  32  40  000000000 
0.560     25             19             22.8           10     4      -3     0   0    150  0    0    -1.1        0           -4          3           47  39  33  41  000000000 
0.570     25             19             22.8           10     4      -3     0   0    150  0    0    -1          0           -4          3           47  39  33  41  000000000 
